2739698,158905,0.777,
2713108,145794,0.766,
2789738,145769,0.743,
2862147,128874,0.723,
2821814,149666,0.811,
2814748,132821,0.709,
2836860,155438,0.804,
2769371,174496,0.797,
2751712,147770,0.768,
2799534,133440,0.783,
2745959,197531,0.767,
2714678,165043,0.802,
2776893,157064,0.752,
2736383,179154,0.789,
2806959,178118,0.764,
2782676,176533,0.773,
2814647,136374,0.756,
2727352,158665,0.814,
2830506,150635,0.842,
2788074,151474,0.813,
2818638,182864,0.791,
2709760,149109,0.803,
2721232,123418,0.806,
2875780,173717,0.845,
2786671,152402,0.794,
2810454,149959,0.832,
2694136,161843,0.818,
2814844,148444,0.863,
2768189,186457,0.874,
2759767,142700,0.844,
2675484,128949,0.839,
2689649,158261,0.768,
2799220,136616,0.722,
2777239,172257,0.751,
2874722,131499,0.849,
2788757,178531,0.784,
2861617,173348,0.780,
2681230,139692,0.811,
2892064,180405,0.798,
2834861,161665,0.769

